#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-24T19:37:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d8a705d69a9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/695/679&tab:{J/ApJ/695/679/table2}&key:source=J/ApJ/695/679&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/695/679/table2
#-order=I
#-out=Prot
#-out=V0mag
#Simbad=Simbad
#
#
#RESOURCE=yCat_16950679
#Name: J/ApJ/695/679
#Title: Stellar rotation in M35 (Meibom+, 2009)
#Table	J_ApJ_695_679_table2:
#Name: J/ApJ/695/679/table2
#Title: Data for the 441 stars with measured rotation periods in the field of M35
#Column	Prot	(F6.3)	Rotation period	[ucd=time.period]
#Column	V0mag	(F5.2)	Intrinsic apparent V band magnitude	[ucd=phot.mag;em.opt.V]
Prot	Vmag
 0.088	15.20
 0.096	15.01
 0.107	15.90
 0.112	14.89
 0.126	16.74
 0.127	12.29
 0.128	19.01
 0.128	14.82
 0.130	14.16
 0.132	14.91
 0.133	15.19
 0.134	19.09
 0.138	19.39
 0.139	12.51
 0.141	16.92
 0.143	17.96
 0.148	18.19
 0.148	17.91
 0.149	17.63
 0.154	15.07
 0.158	17.74
 0.158	15.33
 0.164	16.38
 0.179	17.34
 0.182	17.68
 0.186	15.96
 0.187	13.48
 0.195	17.36
 0.195	17.40
 0.198	18.68
 0.203	17.66
 0.237	17.31
 0.241	16.70
 0.244	17.32
 0.254	16.27
 0.259	19.09
 0.263	17.50
 0.274	18.45
 0.278	18.30
 0.289	12.64
 0.296	18.91
 0.297	12.61
 0.303	15.47
 0.319	13.98
 0.320	17.04
 0.325	16.43
 0.331	17.49
 0.336	17.31
 0.337	15.29
 0.337	14.49
 0.338	17.00
 0.353	15.97
 0.359	17.46
 0.360	16.79
 0.368	16.68
 0.382	15.67
 0.382	16.39
 0.384	16.84
 0.387	16.68
 0.393	16.71
 0.395	18.16
 0.398	15.63
 0.404	15.74
 0.406	16.64
 0.413	17.64
 0.419	18.56
 0.427	16.43
 0.451	17.87
 0.460	16.86
 0.464	17.42
 0.467	12.80
 0.480	18.07
 0.503	17.70
 0.511	17.95
 0.513	16.50
 0.513	16.51
 0.517	17.58
 0.520	16.82
 0.528	16.53
 0.543	15.89
 0.548	15.84
 0.560	13.94
 0.570	15.50
 0.580	12.71
