 0.92  13.62 13.36 
 0.96  13.22 12.95 
 1.29  13.92 13.57 
 1.36  14.55 14.14 
 1.60  13.94 13.65 
 2.03  14.28 13.92 
 2.50  13.78 13.50 
 2.53  14.86 14.29 
 4.35  14.66 14.26 
 4.82  14.68 14.31 
 5.73  15.01 14.58 
 6.33  14.92 14.52 
 7.17  15.08 14.67 
 8.37  15.12 14.69 
 8.80  15.31 14.88 
 8.85  15.26 14.83 
 9.04  15.18 14.77 
 9.27  15.36 14.90 
 9.56  15.27 14.76 
 9.62  15.64 15.13 
 9.98  16.84 16.11 
10.04  16.86 16.15 
10.04  15.42 14.94 
10.23  15.51 15.01 
10.27  15.65 15.12 
10.27  15.65 15.13 
10.29  15.66 15.13 
10.32  15.58 15.05 
10.33  15.57 15.07 
10.37  16.75 16.10 
10.44  15.70 15.17 
10.47  15.78 15.09 
10.49  15.74 15.18 
10.59  16.69 15.98 
10.64  16.13 15.60 
10.67  16.75 16.05 
10.73  16.60 15.95 
10.74  16.80 16.10 
10.75  16.69 16.00 
10.75  16.20 15.63 
10.75  16.19 15.60 
10.76  16.40 15.76 
10.76  16.40 15.73 
10.82  15.87 15.31 
10.82  16.87 16.18 
10.85  15.56 15.07 
10.90  16.69 16.04 
10.95  16.98 16.17 
10.99  15.99 15.40 
11.01  16.46 15.81 
11.03  17.14 16.37 
11.08  15.63 15.16 
11.10  17.38 16.55 
11.12  15.80 15.26 
11.17  16.48 15.70 
11.18  16.29 15.68 
11.20  17.02 16.27 
11.23  16.10 15.51 
11.29  16.08 15.49 
11.29  15.95 15.36 
11.77  16.09 15.53 
11.92  16.62 15.96 
11.99  16.71 15.98 
12.66  14.95 14.48 
16.40  16.56 15.94 
