Spectral_Type U_B B_V V_IC V_J V_H V_KS BCV Teff
#(mag) (mag) (mag) (mag) (mag) (mag) (mag) (K)
A0V −0.014 0.000 0.004 0.046 0.014 0.042 −0.17 9550
A1V 0.033 0.043 0.044 0.094 0.070 0.101 −0.11 9200
A2V 0.063 0.074 0.092 0.167 0.158 0.192 −0.05 8760
A3V 0.077 0.090 0.110 0.197 0.196 0.231 −0.02 8550
A4V 0.097 0.140 0.165 0.296 0.318 0.355 0.00 8270
A5V 0.100 0.160 0.187 0.334 0.366 0.404 0.01 8080
A6V 0.098 0.170 0.198 0.355 0.391 0.429 0.02 8000
A7V 0.091 0.210 0.242 0.433 0.488 0.528 0.04 7800
A8V 0.082 0.253 0.291 0.512 0.589 0.632 0.04 7500
A9V 0.080 0.255 0.294 0.517 0.595 0.638 0.04 7440
F0V 0.053 0.294 0.339 0.589 0.687 0.732 0.03 7200
F1V 0.013 0.343 0.396 0.678 0.802 0.850 0.03 7030
F2V −0.008 0.374 0.432 0.735 0.875 0.925 0.01 6810
F3V −0.016 0.389 0.449 0.763 0.910 0.961 0.01 6720
F4V −0.026 0.412 0.476 0.806 0.965 1.017 0.00 6640
F5V −0.029 0.438 0.506 0.852 1.025 1.079 0.00 6510
F6V −0.021 0.484 0.553 0.929 1.128 1.185 −0.01 6340
F7V −0.012 0.510 0.579 0.971 1.184 1.244 −0.02 6240
F8V 0.000 0.530 0.599 1.004 1.229 1.290 −0.03 6150
F9V 0.014 0.552 0.620 1.040 1.277 1.340 −0.04 6040
G0V 0.049 0.588 0.656 1.097 1.355 1.421 −0.05 5940
G1V 0.067 0.604 0.672 1.123 1.390 1.458 −0.06 5880
G2V 0.120 0.642 0.706 1.185 1.473 1.545 −0.07 5780
G3V 0.152 0.661 0.722 1.217 1.516 1.590 −0.08 5700
G4V 0.175 0.674 0.733 1.239 1.546 1.621 −0.10 5640
G5V 0.185 0.680 0.738 1.249 1.559 1.635 −0.10 5620
G6V 0.229 0.704 0.759 1.290 1.614 1.693 −0.11 5580
G7V 0.243 0.713 0.766 1.303 1.632 1.712 −0.12 5520
G8V 0.284 0.737 0.786 1.344 1.686 1.768 −0.13 5490
G9V 0.358 0.777 0.820 1.409 1.774 1.861 −0.17 5340
