Per	M
#
1.80888	0.17
22.6025	0.13
21.3194	0.18
12.3168	0.32
0.8584	0.18
22.2675	0.38
12.5745	0.79
14.6609	0.66
14.3802	0.13
21.9422	0.63
70.0000	0.13
23.1244	0.37
0.8686	0.17
22.2675	1.17
15.2565	0.63
20.7309	0.46
1.2774	0.20
1.3183	0.19
22.2675	0.28
1.8626	0.20
2.6612	0.38
11.6032	0.76
0.2967	0.13
0.8037	0.18
0.2496	0.22
13.8499	0.94
0.4812	0.22
0.5112	0.16
9.3908	0.90
21.0210	0.59
70.0000	0.14
2.3094	1.04
1.8443	0.24
66.8832	0.20
1.8489	0.28
70.0000	0.16
47.0019	0.65
65.4267	0.21
12.8433	0.68
2.3788	0.36
8.6850	0.60
22.9478	0.49
3.6508	0.25
10.1182	0.30
1.8626	1.12
2.3381	0.19
20.3105	0.23
43.5920	0.35
3.6375	0.22
0.2050	0.14
23.1244	0.41
10.0170	1.02
2.4191	0.17
11.4703	0.92
22.2675	0.17
22.9478	0.19
10.9678	0.59
70.0000	0.63
22.9478	0.31
2.5614	0.23
70.0000	1.05
1.0542	0.25
11.1304	0.85
