Per	Mass	Tau
0.33	0.9632195034992871	3169574.5704264524
3.6	0.9755299061609489	3072654.8015945177
3.7	0.8455338535533001	4390826.474320671
3.47	0.7379637486711279	6041990.31201987
6.4	0.7632526812003618	5145388.2098306045
2.45	0.7995691021361447	4812347.481007845
4.74	0.8775886987221789	4096866.64231461
5.1	0.7796536454939412	4994982.719394519
2.79	0.6447729700259675	12043698.421613228
0.34600000000000003	0.5970479141153832	15117305.6953542
4.8	0.87012669378317	4165297.1621546843
4.3	0.8880355056367912	4001063.914538509
3.85	0.7632526812003618	5145388.2098306045
0.25	0.4729339080574039	23110543.3042877
5.1	0.8429780922125234	4414264.153411746
2.67	0.6562698634228394	11303271.103177894
4.32	0.6860877715160941	9382926.800703391
0.324	0.8731114957587734	4137924.954218656
3.1	0.8046416721008709	4765829.339777901
0.3	0.542914670864631	18603615.497032218
10.7	0.8984823125514038	3905261.1867624056
0.231	0.542914670864631	18603615.497032218
3.25	0.8925127086001968	3960005.6026344625
0.629	0.7464299282164456	5496748.184278026
0.7440000000000001	0.841700211542135	4425982.992957285
4.54	0.8123089561232015	4695516.302504669
5.55	0.8378665695309696	4461139.511593902
1.8	0.8671418918075664	4192669.3700907137
0.264	0.5409314084845848	18731342.318106405
0.325	0.5072159480237985	20902698.27636766
0.28800000000000003	0.5532469100738069	17938194.682295952
1.3	0.791368619989355	4887550.226225887
2.5	0.7146817549215041	7541406.163309954
5.87	0.9144217027745347	3713170.215711238
4.83	0.7538807016040308	5231334.20436551
