Per	Mass	Tau
2.99	1.0932575752745115	54426238.68615973
0.625	1.1824987672814216	94748792.24895795
1.64	0.8631413663895755	17568481.46285633
2.85	1.1599978381179779	84582019.47282296
0.541	1.2810861347089795	31756945.497365832
0.361	1.2756412982760483	40146707.15766838
0.364	1.2626704628543517	60133022.46089264
2.97	0.990497108741672	12654731.479014173
5.18	0.9348522394519481	14801670.207676679
4.46	0.8789513584946992	16958486.601090934
0.391	1.2995354966185404	3328956.6840170473
2.87	1.0932575752745115	54426238.68615973
0.436	0.9028846857571066	16035070.159264453
2.3	1.1991577665213289	102275959.62589936
0.946	1.0380622306096194	29486889.584963426
11.0	0.7907665025960326	20360911.38574818
0.36	1.0821701967263022	49416540.75040634
4.26	1.0462611677632665	33191480.201708555
1.53	1.1872584813499667	96899411.49951272
0.451	1.5245664328050275	68504446.25349139
3.47	1.1045957944284177	59549275.91659842
4.07	1.1564734837450017	82989582.56355792
7.52	0.9348522394519481	14801670.207676679
0.473	1.3174094423431841	68504446.25349139
0.402	1.2945038524613874	11082044.542203054
0.126	1.2569444133845935	68956095.64190118
0.365	1.2530238557715143	74997148.36302248
2.15	0.690418258433837	25163761.407546364
0.712	1.1991577665213289	102275959.62589936
0.372	1.2861177788661322	24003857.639180176
0.348	1.249103298158435	5823612.38871067
0.717	1.254984134578054	71976622.00246184
0.743	0.7865516177011884	20523533.739490807
3.47	1.1654600899055336	87050071.89709084
0.395	1.1848786243156944	95824101.87423544
2.2	0.9028846857571066	16035070.159264453
5.32	0.816584674454833	19364772.230881672
8.47	1.2130077344519263	44531683.64701983
2.12	0.8383532136692347	18524879.523748685
2.42	1.1728226171999077	90376740.83223878
3.88	1.194398052452784	100125340.37534468
1.88	1.0257631079588956	23929679.728097804
1.6	1.0969533681239148	56096137.998077594
5.24	0.8631413663895755	17568481.46285633
2.55	1.5210431948995187	68504446.25349139
4.57	0.9952245135348298	12472334.636932462
0.323	1.194398052452784	100125340.37534468
0.578	0.7991962723857218	20035666.678262904
0.661	1.0130443940056786	18182882.61462143
0.37	0.7028396933977963	24500037.09100519
0.674	1.0257631079588956	23929679.728097804
0.764	0.8035235509261924	19868707.855161447
3.07	1.1920181954185116	99050030.7500674
0.674	1.254984134578054	71976622.00246184
1.1	1.008681426552022	16211528.52480619
1.51	0.8868563545472606	16653489.170208253
0.53	1.2247230830425668	31968407.125016794
0.415	1.520536281060248	68504446.25349139
1.19	1.176503880847095	92040075.29981285
0.774	0.8670938644158569	17415982.74741496
0.539	0.5308443606814892	41203316.69871486
5.88	1.140905718058521	75955475.87325723
5.32	0.9684270807816704	13506256.4870663
0.46	1.356514826182317	68504446.25349139
2.62	1.0298628155091367	25782083.01371961
0.371	1.2861177788661322	24003857.639180176
0.296	0.9199885830593038	15375152.72216959
4.27	0.8868563545472606	16653489.170208253
0.376	1.2961810671804384	8497681.922807828
0.661	1.1564734837450017	82989582.56355792
3.42	1.0585593519049419	38748266.00460845
7.09	0.8252920901405933	19028815.14802849
8.26	0.9642635128692902	13666898.884372754
3.56	1.2130077344519263	44531683.64701983
4.93	1.0665143318643617	42342627.51291121
4.48	1.1599978381179779	84582019.47282296
0.279	1.017407361459335	20154236.704436675
0.144	0.9199885830593038	15375152.72216959
0.454	0.9237054675572921	15231744.652736489
4.31	1.176503880847095	92040075.29981285
0.463	1.243222461738816	12130089.191233248
0.392	1.9161337859036274	68504446.25349139
0.895	0.947034447655569	14331645.658660192
5.24	0.8296457979834744	18860836.606601864
5.29	0.7991962723857218	20035666.678262904
3.18	0.8591888683632947	17720980.178297672
5.59	1.176503880847095	92040075.29981285
8.2	0.9028846857571066	16035070.159264453
3.25	0.7111660398267242	24046954.031999037
2.12	0.5821154317379806	32874142.779447213
4.12	1.1525815423233816	81231055.89098279
0.405	0.6199932556305222	28906334.062818315
4.22	0.5180172141058392	43287133.80093239
3.19	0.9385678300834999	14658312.059323417
0.58	1.0339625230593779	27634486.299341418
2.93	1.2153115919008612	42061078.6987924
0.853	1.508741409612632	68504446.25349139
0.342	1.140905718058521	75955475.87325723
7.14	0.7907665025960326	20360911.38574818
3.39	1.1085048531701542	61315536.843296826
4.85	0.6366117746471667	28023181.5975424
0.423	0.8631413663895755	17568481.46285633
1.5	1.260817486365538	62988210.3613532
0.337	1.222319499591473	34545955.9965823
2.69	1.1848786243156944	95824101.87423544
5.35	0.8947613505998221	16348491.739325572
0.404	1.4718360537519695	68504446.25349139
6.14	1.0932575752745115	54426238.68615973
0.424	0.7907665025960326	20360911.38574818
5.59	0.9385678300834999	14658312.059323417
5.35	1.0625627874625814	40557169.95443052
5.32	1.2084000195540565	49472893.54347471
0.552	1.222319499591473	34545955.9965823
0.707	0.7949813874908777	20198289.032005526
0.617	1.2343374168469408	21658211.638756193
0.397	1.4375486032463918	68504446.25349139
5.29	0.723655559470117	23367329.443489756
4.41	0.8829038565209799	16805987.885649595
0.327	0.8868563545472606	16653489.170208253
6.62	0.990497108741672	12654731.479014173
0.817	1.4747215814271506	68504446.25349139
0.856	1.0462611677632665	33191480.201708555
7.25	1.0130443940056786	18182882.61462143
3.13	1.1599978381179779	84582019.47282296
0.489	1.4615764354270324	68504446.25349139
0.282	0.8122309666119528	19532750.772308264
2.94	0.8987138486261036	16195993.023884201
0.586	1.2014884472072511	56884708.38815774
0.849	1.1199979702070215	66508562.80922863
0.66	1.0216634004086547	22077276.4424761
0.348	1.0298628155091367	25782083.01371961
0.419	1.1399979087471432	75545293.21254155
2.66	0.9952245135348298	12472334.636932462
2.72	0.8749988604684183	17110985.31653228
5.71	0.7444714255424368	22234621.795974366
3.45	0.9385678300834999	14658312.059323417
0.356	0.5522203437391484	37730709.69219476
2.38	0.8591888683632947	17720980.178297672
0.493	0.6573478868175859	26921209.2397648
0.773	1.249103298158435	5823612.38871067
0.503	1.0421617730493746	31339218.267408557
