Per	Mass	Tau
1.8088	0.17	35683354.27997281
12.3168	0.32	42210964.5036813
0.8584	0.18	36226886.426924214
12.5745	0.79	5519414.655136667
14.6609	0.66	7152747.955403394
14.3802	0.13	33509225.692167155
0.7257	0.13	33509225.692167155
23.1244	0.37	21110583.966862164
0.8686	0.17	35683354.27997281
15.2565	0.63	7693007.13959706
20.7309	0.46	14642309.404893674
1.2774	0.2	37313950.72082704
1.3183	0.19	36770418.57387563
1.8626	0.2	37313950.72082704
2.6612	0.38	20391886.79331011
11.6032	0.76	5536898.044298362
0.2967	0.13	33509225.692167155
0.8037	0.18	36226886.426924214
13.8499	0.94	3589228.14951238
0.4812	0.22	38401015.014729865
9.3908	0.9	3771632.3581055086
21.021	0.59	8987975.929970894
0.8968	0.14	34052757.83911857
2.3094	1.04	2416785.419603857
1.8443	0.24	39488079.30863269
1.8884	0.2	37313950.72082704
1.8489	0.28	49205094.15357689
1.4486	0.21	37857482.86777845
12.8433	0.68	7008546.930942543
2.3788	0.36	21829281.140414223
8.685	0.6	8395330.052242348
3.6508	0.25	40031756.97039288
10.1182	0.3	55319964.06278742
1.8626	1.12	1535945.562279785
2.3381	0.19	36770418.57387563
20.3105	0.23	38944547.16168128
43.592	0.35	22547978.313966278
3.6375	0.22	38401015.014729865
0.205	0.14	34052757.83911857
10.017	1.02	2566183.115193928
2.4191	0.17	35683354.27997281
11.4703	0.92	3680430.253808944
10.9678	0.59	8987975.929970894
2.5614	0.23	38944547.16168128
1.0542	0.25	40031756.97039288
11.1304	0.85	4332002.725100665
2.4427	0.78	5525242.451523899
