Per	Mass	Tau
31.8	0.8949874354885707	4150880.108790065
30.4	0.8193674325623742	5183680.025301417
30.7	0.7516797462955953	6108142.257779831
25.1	0.9624662580317498	3229270.487101771
34.5	0.7691144533643112	5870023.197899027
28.8	0.8686363127892361	4510777.441119116
30.3	0.7670633113562271	5898037.2049438255
30.2	0.7660377403521847	5912044.208466228
28.4	0.873906537329103	4438797.974653307
26.9	0.9682896932842383	3149735.401015496
26.9	0.8804943180039367	4348823.641571043
18.9	1.0970639681518208	1441074.9244575873
31.2	0.9494560478546491	3406960.826492777
30.5	0.9494560478546491	3406960.826492777
24.4	0.9697455520973604	3129851.629493928
31.4	0.8963049916235377	4132885.242173609
18.1	1.0904326159459583	1524614.603982186
24.9	0.8949874354885707	4150880.108790065
26.9	0.9379115959724761	3564632.1896070354
31.1	0.8142395775421637	5253715.042913418
29.4	0.8070605805138689	5351764.067570221
24.9	1.0997406841668758	1407425.558125439
22.6	0.9436838219135627	3485796.5080499044
27.2	0.9886601199587565	2871520.984794484
19.8	0.8844469864088369	4294839.041721685
18.2	1.2015077485803962	1370786.0997641971
31.8	0.39426058319938284	17096704.724876672
31.8	1.046359480100549	2083476.9219641495
38.8	1.246732381624393	1441655.823074283
34.0	1.0954061301003553	1461959.8443387363
31.7	0.9070283080215336	3986428.7511393
29.5	0.5776015576765187	10262746.952149132
31.5	1.1885474534537288	1291310.6961917575
25.3	0.5544476071801601	11004794.510706171
33.6	0.9508991043399206	3387251.9061034955
32.4	0.8378277106351321	4931553.961898213
26.6	0.35527256392809087	19016480.62345183
24.0	0.3334243766247894	20092288.633101553
30.8	0.6721343602833553	7541717.229308107
24.3	1.177348585561678	1213382.0934468857
28.6	0.491203766252326	13031659.764721882
36.1	1.2673467661077078	13907817.729342025
30.5	0.6078798006332953	9292377.067882234
31.5	0.8060350095098269	5365771.07109262
28.1	0.4680217007396658	13774608.365164135
26.8	0.6762792286822746	7466619.311730333
30.4	0.7711655953723954	5842009.190854226
29.2	0.5151497764760421	12264227.942386208
32.5	1.2394421201378971	1430231.5443210758
28.0	0.600755508172877	9520699.393592099
