Per	Mass	Tau
2.67	1.1303978527684184	1367596.6795111136
2.519	1.115945324853024	1502118.943295345
4.834	1.1507139370875852	1178932.9014214785
3.312	1.0167808367796667	2791052.6038714517
4.969	0.958431764973199	3265646.4726661895
7.453	0.8117306168853414	6050250.909943887
7.155	0.8241458784308611	5806371.7765954025
1.233	0.8551173764355725	5197983.297287117
0.4732	0.8147222461734184	5991484.853715338
3.888	0.8495747273795158	5306860.298652723
6.389	0.8698983086722574	4907634.122543694
1.656	0.8592231909457625	5117330.748747282
0.7846	0.735237052764871	7944973.492339022
7.155	0.7654235379153481	6959883.8037573295
9.938	0.7247223060441907	8430856.784287237
6.389	0.7072747592878965	9237102.686311241
7.777	0.812328942742957	6038497.698698174
3.888	0.6789074207523503	10547948.890942331
0.8518	0.682318739512773	10390312.874285933
2.129	0.6550281894293928	11651401.007537019
1.176	0.6249500662567595	13041302.057079151
3.507	0.6115354679486504	13661186.62103995
3.65	0.5371681767020746	17097676.842253845
3.65	0.57458466198841	15368672.280660305
7.155	0.5126646509320907	18229977.417981613
6.168	0.5352336878254969	17187068.992969196
0.1827	0.43590850206933257	21776856.03307506
2.794	1.1016861284446084	1634841.7023748034
5.26	0.9557020902169382	3287848.8293278697
1.555	0.8621793773930996	5059260.913798596
6.879	0.7939519843403482	6399485.396973989
7.776	0.8365611399763807	5562492.643246919
2.235	0.7243756660424097	8446874.914791044
0.6125	0.7192916126829602	8681807.495513253
8.13	0.7442496928111684	7528502.099240538
3.374	0.7493337461706185	7293569.518518306
3.888	0.6800445270058247	10495403.55205686
6.624	0.6780804343861874	10586163.682859026
2.129	0.5910363678902505	14608443.885807142
3.888	0.6394741426204266	12370148.844971221
9.936	0.6357422618880955	12542597.934193395
11.17	0.6562686689786373	11594078.819661975
4.968	0.607501002292076	13847618.068847723
2.032	0.5830691895604283	14976604.806585092
0.413	0.5075060139278833	18468356.48655589
5.769	0.5659966645679526	15765521.06539496
0.4019	0.5148140830171769	18130652.80607567
0.1615	0.9705449463315364	3167121.484585258
0.5412	0.7469072661581535	7405696.43204483
6.14	0.8652997964208442	4997964.976908317
7.419	0.8198080159631495	5891582.5581268
5.237	0.7197537993520008	8660449.988174882
8.479	0.6805613934846766	10471519.30710892
3.87	0.723451292704328	8489589.929467808
0.7038	0.6965842543290856	9731107.713722862
6.594	0.6678464781049197	11059071.732828189
10.47	0.6108294364587499	13693812.124406312
0.3411	0.5454434902296571	16715277.08641595
2.225	0.5776887574415874	15225232.960876688
8.903	0.5675487122945414	15693801.40550315
3.87	0.5206175496469099	17862476.353929624
0.3404	0.5775852875931484	15230014.27153613
0.6982	0.5017025472981503	18736532.938701935
6.359	0.7678119659881386	6912966.727840588
2.967	0.43124129341645734	21992526.344943643
4.159	1.0093130798051932	2851793.1017749915
7.453	0.854953143855165	5201209.399228709
2.129	0.7428631328040456	7592574.621255692
1.902	0.6931729355686629	9888743.73037925
5.962	0.7112033459747444	9055563.873934966
2.932	0.6730151428934388	10820229.283348806
4.968	0.6604036008094525	11403004.860078473
9.414	0.6548214428378517	11660954.705516215
5.962	0.6400793124689127	12342184.127800059
4.586	0.6098208200446061	13740419.986358266
6.168	0.609719958403192	13745080.77255344
0.7644	0.5978653778872407	14292877.3822832
1.305	0.5439388877700964	16784804.314750124
2.293	0.5544080415427571	16301027.859253772
2.353	1.0610232173649141	2328895.550957641
4.16	1.0085270001236697	2858186.838396417
6.168	0.8715406344763335	4875373.103127759
1.296	0.9302819592872003	3721488.1580469343
5.42	0.9400519549477102	3529571.2930040485
0.9316	0.8000632626618411	6279438.529235232
5.59	0.7989942213829063	6300438.236705306
7.453	0.807991080275245	6123708.480229577
4.834	0.68428283213241	10299552.743483786
4.968	0.7695369418184875	6879082.173011827
0.707	0.6806647667804467	10466742.458119348
3.44	0.7478316394962357	7362981.417368047
2.417	0.6216216320900857	13195108.001520563
7.155	0.6323129660800072	12701064.664830003
10.52	0.6793209139354319	10528841.494983971
0.4574	0.6580260150067337	11512872.386838991
1.176	0.6218233553729147	13185786.42913016
1.671	0.692139202610959	9936512.22027513
3.888	0.6247483429739307	13050623.629469547
9.414	0.6205121540345279	13246376.649667695
0.3356	0.5027772633406933	18686870.632748973
4.968	0.5505796571505047	16477936.353653576
