Per	Mass	Tau
0.5749	0.28237300420404676	41190223.10121186
0.3193	0.35998890626881547	20971093.95441651
0.286	0.2335141473444725	49482101.51314917
0.499	0.3076529424130704	27747886.414928414
5.766	0.9712133231904917	3115742.546111086
7.6495	0.8999964395541175	4439906.447357259
0.3744	0.19999965996982075	43488107.461501636
0.713	0.1321222355731678	40150794.8518171
0.8275	0.47833284721920477	11937490.807890322
0.4725	0.20037731297968603	46181139.11771298
2.7953	1.2538500448348822	419769.02521795843
1.8867	0.39999926244038575	17030019.211982165
0.4939	0.19999966130889457	43931542.144415244
0.6623	0.4106918772824881	16624735.485829348
0.549	0.22841617282681312	48974261.14462054
11.1805	0.6601246119392316	6929173.270462523
7.551	0.8319455864272409	4595608.725430876
0.304	0.19999966130889457	43931542.144415244
0.727	0.24999956665275525	53702077.59937072
0.4487	0.304813649004756	28236680.1237287
3.3876	1.5906372282318157	232418.07986563022
0.358	0.26327534330477315	55081428.61011173
0.5602	0.2309651600856428	49228181.328884855
0.8969	0.39999924615641425	16871581.29802281
2.1116	1.197025987028919	752836.786454086
3.7479	0.5564387452109671	8696210.136330364
1.7999	0.36996172932846455	19911015.507278763
0.72	0.37245493509337724	19645995.895494282
0.7734	0.3445637567211514	21393568.200525776
1.081	0.42593585955429947	15122949.828976693
0.6961	0.28873889117047113	36559821.264912024
1.1377	0.43900213007299493	13835704.980245844
0.3847	0.43900213007299493	13835704.980245844
0.5572	0.1708312151492723	41818062.80235686
0.3291	0.18064906700606323	41871322.5483187
0.482	0.2360631346033022	49736021.69741349
0.4198	0.1629769336638398	41775455.005587384
1.2224	0.1466842076010056	39220135.32341801
0.6702	0.27600711723762245	45820624.93751165
0.606	0.25690945633834883	59711830.44641152
0.7654	0.4558874026615874	13454985.614734821
0.8235	0.31333152922969815	26770298.997328024
6.8132	0.9331361023446342	3447919.5338899824
2.337	0.5506481559302564	8792899.790541947
4.5487	1.0539943545765944	2295355.535992929
0.534	0.5205521303903872	10219831.771832846
0.3274	0.11877376121431645	41003899.41951628
3.7501	0.3218494094546398	25303917.87092744
4.395	1.0621177141151263	2255100.4629749106
0.3451	0.14999975098912563	40176511.63622422
8.3247	0.7789596958892022	5442432.520322126
0.5214	0.2499995647485311	52347644.37319526
1.4556	0.40198103027002474	17482898.718316555
0.3446	0.14999974876156383	39496548.60661988
13.0526	0.5335945028683176	9620362.518758338
10.0234	0.6464504171983783	7034097.336267855
0.4252	0.27282417375441026	48135825.85566157
0.3226	0.19999965566868613	42046052.8298451
0.7308	0.3499993614819845	20568336.765230555
0.7453	0.3076529424130704	27747886.414928414
0.5384	0.260092399821561	57396629.5282616
